,sentence_id,sentence,category,sentiment
1,79:01:00,This computer is absolutely AMAZING!!!,LAPTOP#GENERAL,positive
2,79:02:00,10 plus hours of battery...,BATTERY#OPERATION_PERFORMANCE,positive
3,79:03:00,super fast processor and really nice graphics card..,CPU#OPERATION_PERFORMANCE,positive
4,79:03:00,super fast processor and really nice graphics card..,GRAPHICS#GENERAL,positive
5,79:04:00,and plenty of storage with 250 gb(though I will upgrade this and the ram..),HARD_DISC#DESIGN_FEATURES,positive
6,79:05:00,This computer is really fast and I'm shocked as to how easy it is to get used to...,LAPTOP#OPERATION_PERFORMANCE,positive
7,79:05:00,This computer is really fast and I'm shocked as to how easy it is to get used to...,LAPTOP#USABILITY,positive
8,79:06:00,I've only had mine a day but I'm already used to it...,LAPTOP#USABILITY,positive
10,79:08:00,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,LAPTOP#PORTABILITY,positive
11,79:08:00,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,CPU#OPERATION_PERFORMANCE,positive
12,10:00,the laptop was really good and it goes really fast just the way i thought it would of run.,LAPTOP#GENERAL,positive
13,10:00,the laptop was really good and it goes really fast just the way i thought it would of run.,LAPTOP#OPERATION_PERFORMANCE,positive
14,10:01,i would really recommend to any person out there to get this laptop cause its really worth it.,LAPTOP#GENERAL,positive
15,10:02,and its really cheap and you wont regret buying it.,LAPTOP#PRICE,positive
16,10:02,and its really cheap and you wont regret buying it.,LAPTOP#GENERAL,positive
18,264:01:00,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#PORTABILITY,positive
19,264:01:00,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#QUALITY,positive
20,264:01:00,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#USABILITY,positive
21,264:02:00,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#DESIGN_FEATURES,positive
22,264:02:00,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#PORTABILITY,positive
23,264:02:00,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#MISCELLANEOUS,positive
24,264:03:00,I highly recommend this computer for students looking for a solid machine to get them through college.,LAPTOP#MISCELLANEOUS,positive
25,264:03:00,I highly recommend this computer for students looking for a solid machine to get them through college.,LAPTOP#QUALITY,positive
26,264:04:00,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",OS#DESIGN_FEATURES,positive
27,24:00:00,Oh my goodness-I am not a happy camper.,LAPTOP#GENERAL,negative
28,24:01:00,My HP is very heavy.,LAPTOP#DESIGN_FEATURES,negative
29,24:02:00,Not easy to carry.,LAPTOP#PORTABILITY,negative
30,24:03:00,The battery has never worked well.,BATTERY#QUALITY,negative
31,24:03:00,The battery has never worked well.,BATTERY#OPERATION_PERFORMANCE,negative
32,24:04:00,The battery gets so HOT it is scary.,BATTERY#QUALITY,negative
33,24:05:00,"Yet, HP won't do anything about the problem.",SUPPORT#QUALITY,negative
34,24:06:00,I returned the computer to HP and they kept it for 3 months.,SUPPORT#QUALITY,negative
35,24:07:00,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,SUPPORT#QUALITY,negative
36,24:08:00,"So, you can imagine how unhappy I am with this item.",LAPTOP#GENERAL,negative
37,24:09:00,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.,LAPTOP#QUALITY,negative
39,24:11:00,"Well, they don't care a bunch.",SUPPORT#QUALITY,negative
40,24:12:00,"But, at the same time they (the company) would not and could not do anything about my problem.",SUPPORT#QUALITY,negative
41,24:13:00,I would  say if you want to buy one of these machines be careful.,LAPTOP#GENERAL,negative
42,24:14:00,"And, if you are going to deal with HP be careful.",COMPANY#GENERAL,negative
43,24:15:00,"In my house, HP is a nasty word.",COMPANY#GENERAL,negative
44,277:00:00,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.",LAPTOP#GENERAL,positive
45,277:01:00,The netbook is easier for me to take to bed and carry around with me.,LAPTOP#PORTABILITY,positive
48,277:03:00,I have not have any problems.,LAPTOP#GENERAL,positive
