,sentence_id,sentence,category,sentiment
0,1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",restaurant#general,negative
1,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",service#general,negative
2,1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",service#general,negative
3,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,food#quality,negative
4,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,food#style_options,negative
5,1004293:4,"After all that, they complained to me about the small tip.",service#general,negative
6,1004293:5,Avoid this place!,restaurant#general,negative
7,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food#quality,positive
8,1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,restaurant#general,positive
9,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,food#quality,positive
10,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,food#quality,positive
11,1014458:3,The wine list is interesting and has many good values.,drinks#style_options,positive
12,1014458:3,The wine list is interesting and has many good values.,drinks#prices,positive
13,1014458:4,"For the price, you cannot eat this well in Manhattan.",restaurant#prices,positive
14,1014458:4,"For the price, you cannot eat this well in Manhattan.",food#quality,positive
15,1016296:0,I was very disappointed with this restaurant.,restaurant#general,negative
16,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,service#general,negative
17,1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,service#general,negative
19,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,food#quality,negative
20,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,food#quality,negative
21,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,restaurant#miscellaneous,negative
22,1016296:5,I/we will never go back to this place again.,restaurant#general,negative
23,1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",restaurant#general,positive
24,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",service#general,positive
25,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",food#quality,positive
26,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",restaurant#prices,positive
27,1028246:2,You can't go wrong here.,restaurant#general,positive
28,1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,restaurant#general,positive
